pi secs nthreads
3.141593 1.217257 1
3.141593 0.589695 2
3.141593 0.655525 3
3.141593 0.623187 4
3.141593 0.658152 5
3.141593 0.630945 6
3.141593 0.688468 7
3.141593 0.654137 8
3.141593 0.702919 9
3.141593 0.690119 10
3.141593 0.669375 11
3.141593 0.605857 12
3.141593 0.631272 13
3.141593 0.598082 14
3.141593 0.591565 15
3.141593 0.730555 16
3.141593 0.766879 17
3.141593 0.749867 18
3.141593 0.686726 19
3.141593 0.618443 20
3.141593 0.604372 21
3.141593 0.737583 22
3.141593 0.733744 23
3.141593 0.646154 24
3.141593 0.771479 25
3.141593 0.838726 26
3.141593 0.858115 27
3.141593 0.630436 28
3.141593 0.740639 29
3.141593 0.673556 30
3.141593 0.800899 31
3.141593 0.687897 32
